ÝLÇE ADI;MAHALLE ADI;MEÞHUR ÜRÜNLER
Ahýrlý;ERDOÐAN;BAL, PEKMEZ
Ahýrlý;KURUÇAY;BAL, PEYNÝR
Ahýrlý;KARACAKUYU;SÜT
Ahýrlý;BADEMLÝ;SÜT, YAÐ, KAYMAK, YOÐURT, CANLI HAYVAN
Ahýrlý;ÇÝFTLÝK;YUMURTA
Akören;ALAN;SÜT, PEYNÝR
Akören;ORHANÝYE;SÜT, YAÐ, YOÐURT
Akþehir;ÇÝMENDERE;BAL, YOÐURT, PEYNÝR
Akþehir;BOZLAÐAN;CANLI HAYVAN
Akþehir;DOÐRUGÖZ;CANLI HAYVAN
Akþehir;GÖZPINARI;CANLI HAYVAN
Akþehir;ALANYURT;SÜT
Akþehir;ALTUNTAÞ;SÜT
Akþehir;ILICAK;SÜT
Akþehir;REÝS;SÜT
Akþehir;SÖÐÜTLÜ;SÜT
Akþehir;ATAKENT;SÜT, BAL, MEYVE KURUSU
Akþehir;SAVAÞ;SÜT, BAL, PEYNÝR, YUMURTA
Akþehir;TÝPÝKÖY;SÜT, PEYNÝR
Akþehir;SARAY;SÜT, PEYNÝR
Akþehir;YENÝKÖY;SÜT, YAÐ, PEYNÝR
Altýnekin;KOÇYAKA;CANLI HAYVAN
Altýnekin;YENÝÖLMEZ;CANLI HAYVAN
Altýnekin;YENÝYAYLA;CANLI HAYVAN
Altýnekin;KARAKAYA;CANLI HAYVAN, PEYNÝR
Altýnekin;DEDELER;CANLI HAYVAN, YUMURTA
Altýnekin;AKCAÞAR;SÜT
Altýnekin;AKINCILAR;SÜT
Altýnekin;SARNIÇ;SÜT, CANLI HAYVAN
Altýnekin;AYIÞIÐI;SÜT, PEYNÝR
Altýnekin;HACINUMAN;SÜT, YOÐURT, CANLI HAYVAN, PEYNÝR
Altýnekin;MANTAR;SÜT, YOÐURT, PEYNÝR
Beyþehir;ÜÇPINAR;BAL, TARHANA
Beyþehir;GÖLKAÞI;BALIK
Beyþehir;GÖLYAKA;BALIK
Beyþehir;BAÞGÖZE;CANLI HAYVAN
Beyþehir;ÇÝFTLÝK;CANLI HAYVAN, BALIK
Beyþehir;DOÐANBEY;CANLI HAYVAN, SUCUK
Beyþehir;ÜZÜMLÜ;PEKMEZ, TÜFEK
Beyþehir;KARADÝKEN;SÜT
Beyþehir;ÇÝVRÝL;SÜT
Beyþehir;GÖKÇEKUYU;SÜT, TARHANA, YOÐURT, BULGUR, YUMURTA
Beyþehir;SADIKHACI;SÜT, YAÐ, YOÐURT, CANLI HAYVAN
Beyþehir;DUMANLI;SÜT, YAÐ, YOÐURT, PEYNÝR
Beyþehir;DAMLAPINAR;SÜT, YOÐURT, YUMURTA
Beyþehir;AKÇABELEN;ÞEKER FASULYE
Beyþehir;BAYAVÞAR;TARHANA
Beyþehir;EÐÝRLER;TARHANA
Beyþehir;ÝSAKÖY;TARHANA
Beyþehir;ÞAMLAR;TARHANA
Beyþehir;GÜNDOÐDU;TARHANA, PEYNÝR
Beyþehir;KARAHÝSAR;TARHANA, SALÇA
Beyþehir;GÖÇÜ;TARHANA, YOÐURT, PEYNÝR
Beyþehir;YEÞÝLDAÐ;TARHANA, YOÐURT, PEYNÝR, SALÇA
Beyþehir;HUÐLU;TÜFEK
Beyþehir;AKBURUN;YOÐURT, BALIK, PEYNÝR
Bozkýr;ÇAÐLAYAN;BAL, PEKMEZ
Bozkýr;HÝSARLIK;BAL, PEKMEZ
Bozkýr;HAMZALAR;PEKMEZ
Bozkýr;DEREÝÇÝ;PEKMEZ
Bozkýr;SAZLI;PEKMEZ
Bozkýr;YELBEYÝ;PEKMEZ
Bozkýr;BOZDAM;SÜT
Bozkýr;KOZAÐAÇ;SÜT
Bozkýr;SARIOÐLAN;SÜT
Bozkýr;TEPELÝCE;SÜT
Bozkýr;AYDINKIÞLA;SÜT, CANLI HAYVAN
Bozkýr;KÜÇÜKHÝSARLIK;SÜT, YAÐ
Bozkýr;SORKUN;SÜT, YAÐ
Bozkýr;ÜÇPINAR;SÜT, YAÐ, BAL, YOÐURT, PEYNÝR
Bozkýr;KAYACILAR;SÜT, YAÐ, YOÐURT
Bozkýr;HACILAR;SÜT, YOÐURT
Bozkýr;BAÐYURDU;SÜT, YOÐURT, PEKMEZ
Bozkýr;KAYAPINAR;SÜT, YOÐURT, PEYNÝR
Bozkýr;DEREKÖY;TAHÝN
Cihanbeyli;TÜFEKÇÝPINAR;PEYNÝR
Cihanbeyli;KUÞCA;SÜT
Cihanbeyli;BULDUK;SÜT
Cihanbeyli;KARATEPE;SÜT, BAL, PEYNÝR
Cihanbeyli;GÖKTEPE;SÜT, CANLI HAYVAN
Cihanbeyli;SIÐIRCIK;SÜT, CANLI HAYVAN
Cihanbeyli;KELHASAN;SÜT, PEYNÝR
Cihanbeyli;GEMECÝK;SÜT, YAÐ, CANLI HAYVAN, PEYNÝR, YUMURTA
Cihanbeyli;KARABAÐ;SÜT, YAÐ, YOÐURT, CANLI HAYVAN
Cihanbeyli;YÜNLÜKUYU;SÜT, YAÐ, YOÐURT, CANLI HAYVAN, PEYNÝR
Cihanbeyli;ÇÝMEN;SÜT, YAÐ, YOÐURT, CANLI HAYVAN, PEYNÝR
Cihanbeyli;KIRKIÞLA;SÜT, YAÐ, YOÐURT, PEYNÝR
Cihanbeyli;BEYLÝOVA;SÜT, YAÐ, YOÐURT, PEYNÝR
Cihanbeyli;CUMHURÝYET;SÜT, YOÐURT
Cihanbeyli;UZUNCAYAYLA;SÜT, YOÐURT
Cihanbeyli;BÜYÜKBEÞKAVAK;SÜT, YOÐURT
Cihanbeyli;HODOÐLU;SÜT, YOÐURT, CANLI HAYVAN, PEYNÝR
Cihanbeyli;GÜNYÜZÜ;SÜT, YOÐURT, CANLI HAYVAN, PEYNÝR
Cihanbeyli;AÐABEYLÝ;SÜT, YOÐURT, PEYNÝR
Cihanbeyli;GÖLYAZI;SÜT, YOÐURT, PEYNÝR
Cihanbeyli;ÇÖL;SÜT, YOÐURT, PEYNÝR
Cihanbeyli;DAMLAKUYU;SÜT, YOÐURT, PEYNÝR
Cihanbeyli;MUTLUKONAK;YAÐ, PEYNÝR
Cihanbeyli;KANDÝL;YAÐ, YOÐURT, PEYNÝR
Cihanbeyli;KÜTÜKUÞAÐI;YOÐURT, PEYNÝR
Çeltik;DOÐANYURT;PEYNÝR
Çeltik;HONAMLI;SÜT
Çeltik;KAÞÖREN;SÜT, YAÐ, PEYNÝR
Çeltik;TORUNLAR;SÜT, YOÐURT
Çeltik;ADAKASIM;SÜT, YOÐURT, PEYNÝR
Çeltik;ÝSHAKUÞAÐI;SÜT, YOÐURT, PEYNÝR
Çumra;TAÞAÐIL;CANLI HAYVAN
Çumra;AFÞAR;SÜT
Çumra;ÜÇHÜYÜK;SÜT
Çumra;ÜRÜNLÜ;SÜT
Çumra;OKÇU;SÜT, BAL, YOÐURT
Çumra;GÜVERCÝNLÝK;SÜT, YAÐ, YOÐURT, PEYNÝR
Çumra;KARKIN;SÜT, YOÐURT, PEYNÝR
Çumra;T.KARAHÜYÜK;SÜT, YUMURTA
Derbent;SARAYPINAR;PEKMEZ
Derbent;KARALAR;SÜT, PEYNÝR
Derbent;TEKKE;SÜT, YAÐ, YOÐURT, YUMURTA
Derbent;SÜLEYMAN;YUMURTA
Derebucak;DURAK;BAL
Derebucak;GENCEK;SÜT, PEKMEZ
Derebucak;ÇAMLIK;SÜT, YAÐ, YOÐURT, CANLI HAYVAN, PEYNÝR
Derebucak;TEPEARASI;TARHANA, CANLI HAYVAN
Doðanhisar;ÇINAROBA;SÜT
Emirgazi;YAMAÇ;CANLI HAYVAN
Emirgazi;EKÝZLÝ;PEKMEZ
Emirgazi;BESCÝ;SÜT
Emirgazi;IÞIKLAR;SÜT, YAÐ
Emirgazi;KARAÖREN;SÜT, YAÐ, YOÐURT, PEYNÝR
Ereðli;ÇÝLLER;CANLI HAYVAN
Ereðli;GÖKÇEYAZI;CANLI HAYVAN
Ereðli;YILDIZLI;SUCUK, MEYVE KURUSU, PEKMEZ
Ereðli;ÇAKMAK;SÜT
Ereðli;HACIMEMÝÞ;SÜT
Ereðli;KAMIÞLIKUYU;SÜT
Ereðli;KIZILGEDÝK;SÜT
Ereðli;ORHANÝYE;SÜT
Ereðli;SARICA;SÜT
Ereðli;ULUMEÞE;SÜT
Ereðli;YAZLIK;SÜT
Ereðli;SELVÝLÝ;SÜT, CANLI HAYVAN, PEYNÝR, YUMURTA
Ereðli;ÇÝMENCÝK;SÜT, PEYNÝR
Ereðli;TÜRKMEN;SÜT, PEYNÝR
Ereðli;KARABURUN;SÜT, YOÐURT
Güneysýnýr;SARIHACI;MEYVE KURUSU, PEKMEZ
Güneysýnýr;AÐAÇOBA;PEKMEZ
Güneysýnýr;ALANÖZÜ;PEKMEZ
Güneysýnýr;ÖMEROÐLU;PEKMEZ
Güneysýnýr;AVCITEPE;SÜT, YAÐ, PEYNÝR
Güneysýnýr;KURUKAVAK;SÜT, YOÐURT, PEYNÝR
Güneysýnýr;MEHMET ALÝ;YOÐURT, PEKMEZ
Hadim;DEDEMLÝ;BAL
Hadim;GEZLEVÝ;BAL
Hadim;ODUNCU;BAL
Hadim;AÞAÐIEÞENLER;BAL, MEYVE KURUSU, PEKMEZ
Hadim;GAZÝLER;BAL, PEKMEZ
Hadim;YALINÇEVRE;BAL, PEKMEZ
Hadim;YAÐCI;MEYVE KURUSU, PEKMEZ
Hadim;BADEMLÝ;PEKMEZ
Hadim;DÜLGERLER;PEKMEZ
Hadim;KAPLANLI;PEKMEZ
Hadim;KÜPLÜCE;PEKMEZ
Hadim;YELMEZ;PEKMEZ
Hadim;GÖYNÜKKIÞLA;PEKMEZ, ASMA YAPRAÐI
Hadim;BOLAT;SÜT, BAL, PEKMEZ
Hadim;BEYRELÝ;SÜT, BAL, YOÐURT, PEYNÝR
Hadim;GÜLPINAR;SÜT, YAÐ, BAL, PEYNÝR
Hadim;YUKARIEÞENLER;SÜT, YAÐ, BAL, YOÐURT, CANLI HAYVAN, MEYVE KURUSU, PEKMEZ
Hadim;BAÐBAÞI;SÜT, YAÐ, PEKMEZ
Hadim;KALINAÐIL;SÜT, YAÐ, YOÐURT, PEYNÝR, PEKMEZ
Hadim;SARNIÇ;SÜT, YAÐ, YOÐURT, PEYNÝR, PEKMEZ
Hadim;SELAHATTÝN;SÜT, YAÐ, YOÐURT, PEYNÝR, PEKMEZ
Hadim;YENÝKONAK;YOÐURT, PEYNÝR, PEKMEZ, ASMA YAPRAÐI
Halkapýnar;ESKÝHÝSAR;CANLI HAYVAN, PEYNÝR, PEKMEZ
Halkapýnar;ÝVRÝZ;MEYVE KURUSU, PEKMEZ
Halkapýnar;OSMANKÖSELÝ;PEKMEZ, CEVÝZLÝ SUCUK(BANDIRMA)
Halkapýnar;BÜYÜKDOÐAN;SÜT
Halkapýnar;DELÝMAHMUTLU;SÜT, BAL
Halkapýnar;YAYIKLI;SÜT, YAÐ
Halkapýnar;KAYASARAY;SÜT, YOÐURT, PEYNÝR
Halkapýnar;SEYDÝFAKILI;SÜT, YOÐURT, PEYNÝR
Halkapýnar;KÖRLÜ;YAÐ, YOÐURT, PEYNÝR, PEKMEZ
Hüyük;BUDAK;BAL, BALIK, PEKMEZ
Hüyük;TOLCA;BALIK
Hüyük;ÝMRENLER;BULGUR, PEKMEZ
Hüyük;DEÐÝRMENALTI;CANLI HAYVAN, YUMURTA
Hüyük;BURUNSUZ;PEKMEZ
Hüyük;KIRELÝ;SÜT
Hüyük;KÖÞK;SÜT
Hüyük;YENÝCE;SÜT
Hüyük;SULUDERE;SÜT, BAL, YOÐURT, PEYNÝR
Hüyük;ÇAVUÞ;SÜT, PEYNÝR
Hüyük;PINARBAÞI;SÜT, PEYNÝR
Hüyük;MUTLU;SÜT, YAÐ, PEYNÝR
Hüyük;ÇUKURKENT;SÜT, YOÐURT
Hüyük;ÇAMLICA;SÜT, YOÐURT, PEYNÝR
Hüyük;SELKÝ;SÜT, YOÐURT, YUMURTA
Ilgýn;ÇAVUÞÇUGÖL;BALIK
Ilgýn;ARGITHANI;BULGUR
Ilgýn;ÇÖMLEKCÝ;PEYNÝR
Ilgýn;AÐALAR;SÜT
Ilgýn;BARAKMUSLU;SÜT
Ilgýn;BÜYÜKOBA;SÜT
Ilgýn;ÇOBANKAYA;SÜT
Ilgýn;GEÇÝT;SÜT
Ilgýn;GÖLYAKA;SÜT
Ilgýn;HARMANYAZI;SÜT
Ilgýn;KARAKÖY;SÜT
Ilgýn;MÝSAFÝRLÝ;SÜT
Ilgýn;SADIKKÖY;SÜT
Ilgýn;ZAFERÝYE;SÜT
Ilgýn;BELEKLER;SÜT, PEYNÝR
Ilgýn;AVDAN;SÜT, YAÐ, YOÐURT
Ilgýn;BULCUK;SÜT, YAÐ, YOÐURT, PEYNÝR
Ilgýn;GÖKÇEYURT;SÜT, YOÐURT
Ilgýn;GÖKBUDAK;SÜT, YOÐURT
Ilgýn;YUKARIÇÝÐÝL;SÜT, YOÐURT
Ilgýn;GEDÝKÖREN;SÜT, YOÐURT, CANLI HAYVAN, YUMURTA
Ilgýn;ÇATAK;SÜT, YOÐURT, PEYNÝR
Ilgýn;DEREKÖY;SÜT, YOÐURT, PEYNÝR
Ilgýn;GÜNEYPINAR;SÜT, YOÐURT, PEYNÝR
Ilgýn;MAHMUTHÝSAR;SÜT, YOÐURT, PEYNÝR
Ilgýn;MECÝDÝYE;SÜT, YOÐURT, PEYNÝR
Ilgýn;TEKELER;SÜT, YOÐURT, YUMURTA
Ilgýn;ORMANÖZÜ;YAÐ, TARHANA, YOÐURT, PEYNÝR
Ilgýn;YORAZLAR;YAÐ, YOÐURT, PEYNÝR, YUMURTA
Ilgýn;DIÐRAK;YOÐURT
Ilgýn;ORHANÝYE;YUMURTA
Kadýnhaný;OSMANCIK;CANLI HAYVAN
Kadýnhaný;ÇEÞMECÝK;CANLI HAYVAN
Kadýnhaný;SAÇIKARA;CANLI HAYVAN
Kadýnhaný;KARASEVÝNÇ;SÜT
Kadýnhaný;MEYDANLI;SÜT
Kadýnhaný;PUSAT;SÜT, CANLI HAYVAN, YUMURTA
Kadýnhaný;KIZILKUYU;SÜT, PEYNÝR
Kadýnhaný;TOSUNOÐLU;SÜT, YAÐ, BAL, CANLI HAYVAN
Kadýnhaný;BEYKAVAÐI;SÜT, YAÐ, YOÐURT
Kadýnhaný;ÞAHÖREN;SÜT, YAÐ, YOÐURT, PEYNÝR
Kadýnhaný;ÇUBUK;SÜT, YAÐ, YOÐURT, YUMURTA
Kadýnhaný;ATLANTI;SÜT, YOÐURT, CANLI HAYVAN
Kadýnhaný;BAÞKUYU;SÜT, YOÐURT, PEYNÝR
Kadýnhaný;BULGURPINAR;YAÐ, BAL, YOÐURT, YUMURTA
Kadýnhaný;ALABAÐ;YAÐ, YOÐURT
Karapýnar;ÇÝÐÝL;CANLI HAYVAN
Karapýnar;YEÞÝLYURT;SÜT
Karapýnar;HASANOBA;SÜT, CANLI HAYVAN
Karapýnar;KESMEZ;SÜT, YAÐ, YOÐURT
Karapýnar;AKÇAYAZI;YOÐURT
Karatay;KIZÖREN;KAYMAK, YOÐURT, PEYNÝR, YUMURTA
Karatay;ACIDORT;SÜT
Karatay;YENÝKENT;SÜT
Karatay;SÜRÜÇ;SÜT, BAL
Karatay;BÜYÜKBURNAK;SÜT, CANLI HAYVAN
Karatay;KARAKAYA;SÜT, CANLI HAYVAN
Karatay;KÖSEALÝ;SÜT, YAÐ, PEYNÝR, TANDIR EKMEÐÝ
Karatay;OVAKAVAÐI;SÜT, YAÐ, YOÐURT, PEYNÝR
Karatay;KARADONA;SÜT, YAÐ, YOÐURT, PEYNÝR, YUMURTA
Karatay;HAYIROÐLU MERKEZ;SÜT, YOÐURT, PEYNÝR
Karatay;YARMA;SÜT, YUMURTA
Kulu;AÐILBAÞI;SÜT, PEYNÝR, YUMURTA
Kulu;ÖMERANLI;SÜT, YAÐ, CANLI HAYVAN
Kulu;DÝPDEDE;SÜT, YOÐURT
Kulu;BAHADIRLI;SÜT, YOÐURT
Kulu;DEÐÝRMENÖZÜ;YUFKA, BULGUR
Meram;ÝLYASBABA;BAL
Meram;GÖKYURT;CANLI HAYVAN, PEKMEZ
Meram;BAYAT;SÜT
Meram;ÇOMAKLAR;SÜT
Meram;HATUNSARAY;SÜT
Meram;KAYHÜYÜK;SÜT
Meram;SADIKLAR;SÜT
Meram;SAÐLIK;SÜT
Meram;KAVAK;SÜT, YAÐ, PEYNÝR
Meram;YEÞÝLDERE;SÜT, YAÐ, PEYNÝR
Meram;KAYADÝBÝ;SÜT, YOÐURT, PEYNÝR
Meram;KIZILÖREN;SÜT, YOÐURT, PEYNÝR
Sarayönü;BAÞHÜYÜK;KAYMAK, PEYNÝR
Sarayönü;BÜYÜKZENGÝ;SÜT
Sarayönü;KAYIÖREN;SÜT
Sarayönü;ERTUÐRUL;SÜT, PEYNÝR
Sarayönü;KURÞUNLU;SÜT, PEYNÝR
Sarayönü;ÇEÞMELÝSEBÝL;SÜT, TARHANA
Sarayönü;DEÐÝRMENLÝ;SÜT, YAÐ
Sarayönü;BOYALI;SÜT, YAÐ, BAL, YUMURTA
Sarayönü;KARABIYIK;SÜT, YAÐ, KAYMAK, YOÐURT, PEYNÝR
Sarayönü;KONAR;SÜT, YAÐ, YOÐURT
Sarayönü;KUYULUSEBÝL;SÜT, YAÐ, YOÐURT, PEYNÝR
Sarayönü;KARATEPE;SÜT, YOÐURT, PEYNÝR
Selçuklu;BAÞARAKAVAK;BAL
Selçuklu;Mehmet Fatih;BAL
Selçuklu;hasan;BAL, CANLI HAYVAN
Selçuklu;SÝLLE;MEYVE KURUSU, PEKMEZ, TANDIR EKMEÐÝ
Selçuklu;AÞAÐIPINARBAÞI;PEKMEZ
Selçuklu;SARICALAR;PEYNÝR, SÜT REÇELÝ
Selçuklu;KERVAN;SÜT
Selçuklu;KINIK;SÜT, KAYMAK, YOÐURT
Selçuklu;MEYDAN;SÜT, PEYNÝR
Selçuklu;SELAHATTÝN;SÜT, YAÐ, BAL, YOÐURT, PEYNÝR
Selçuklu;YUKARIPINARBAÞI;SÜT, YAÐ, PEYNÝR
Selçuklu;SULUTAS;SÜT, YAÐ, YOÐURT, PEYNÝR
Selçuklu;AKPINAR;SÜT, YAÐ, YOÐURT, PEYNÝR
Selçuklu;ÇALTI;SÜT, YAÐ, YOÐURT, PEYNÝR
Selçuklu;KIZILCAKUYU;SÜT, YOÐURT
Selçuklu;ARDIÇLI;SÜT, YOÐURT, CANLI HAYVAN, PEYNÝR, YUMURTA
Selçuklu;ÇANDIR;SÜT, YOÐURT, PEYNÝR
Selçuklu;EÐRÝBAYAT;SÜT, YOÐURT, PEYNÝR
Selçuklu;GÜVENÇ;SÜT, YOÐURT, PEYNÝR
Selçuklu;YAZIBELEN;SÜT, YOÐURT, PEYNÝR
Selçuklu;YÜKSELEN;SÜT, YOÐURT, PEYNÝR
Selçuklu;BAÐRIKURT;YAÐ, YOÐURT, PEYNÝR
Selçuklu;KÜÇÜKMUHSÝNE;YOÐURT, PEYNÝR
Seydiþehir;KOZLU;CANLI HAYVAN
Seydiþehir;OÐLAKÇI;CANLI HAYVAN
Seydiþehir;KESECÝK;SÜT
Seydiþehir;AKÇALAR;SÜT
Seydiþehir;ÇAT;SÜT, KAYMAK, YOÐURT
Seydiþehir;MADENLÝ;SÜT, PEYNÝR
Seydiþehir;TAÞAÐIL;SÜT, PEYNÝR
Seydiþehir;BÜKÇE;SÜT, YAÐ, PEYNÝR
Seydiþehir;ÇAVUÞ;SÜT, YAÐ, PEYNÝR
Seydiþehir;BOYALI;SÜT, YAÐ, YOÐURT
Seydiþehir;DÝKÝLÝTAÞ;SÜT, YAÐ, YOÐURT, PEYNÝR
Seydiþehir;YENÝCE;SÜT, YOÐURT
Seydiþehir;ÇATMAKAYA;SÜT, YOÐURT, PEYNÝR
Seydiþehir;KIZILCA;SÜT, YOÐURT, PEYNÝR
Seydiþehir;YAYLACIK;YAÐ, YOÐURT, CANLI HAYVAN, PEYNÝR
Seydiþehir;UFACIK;YAÐ, YUMURTA
Taþkent;BALCILAR;BAL, PEYNÝR
Taþkent;ILICAPINAR;KARADUT
Taþkent;KECÝMEN;KURU ÜZÜM
Taþkent;AFÞAR;PEKMEZ
Taþkent;BOLAY;PEKMEZ
Taþkent;KONGUL;SÜT, YAÐ, PEYNÝR
Tuzlukçu;KORAÞI;CANLI HAYVAN
Tuzlukçu;SUBATAN;CANLI HAYVAN
Tuzlukçu;KONARI;SÜT, YAÐ, YOÐURT, PEYNÝR
Tuzlukçu;KÖKLÜCE;YOÐURT, PEYNÝR
Yunak;ALTINÖZ;BAL
Yunak;AYRITEPE;SÜT
Yunak;ÇAYIRBAÞI;SÜT
Yunak;HACIÖMEROÐLU;SÜT
Yunak;HATIRLI;SÜT
Yunak;HARUNLAR;SÜT
Yunak;ÝMAMOÐLU;SÜT
Yunak;KARAYAYLA;SÜT
Yunak;KILLAR;SÜT
Yunak;KUYUBAÞI;SÜT
Yunak;ODABAÞI;SÜT
Yunak;ORTAKIÞLA;SÜT
Yunak;YEÞÝLYAYLA;SÜT
Yunak;KARGALI;SÜT, CANLI HAYVAN
Yunak;HURSUNLU;SÜT, PEYNÝR
Yunak;SEVÝNÇ;SÜT, PEYNÝR
Yunak;BEÞIÞIKLI;SÜT, YAÐ, KAYMAK, PEYNÝR, YUMURTA
Yunak;YEÞÝLOBA;SÜT, YAÐ, PEYNÝR
Yunak;PÝRÝBEYLÝ;SÜT, YOÐURT
Yunak;CEBRAÝL;SÜT, YOÐURT
Yunak;KOÇYAZI;SÜT, YOÐURT, PEYNÝR
Yunak;KURTUÞAÐI;SÜT, YOÐURT, PEYNÝR
Yunak;ÖZYAYLA;SÜT, YOÐURT, PEYNÝR
Yunak;SERTLER;SÜT, YOÐURT, PEYNÝR
Yunak;KUZÖREN;SÜT, YOÐURT, YUMURTA
Yunak;SIRAM;YOÐURT, PEYNÝR
;;
