ÝLÇE ADI;MAHALLE ADI;DEVLETÝN VERMÝÞ OLDUÐU DESTEKLERDEN FAYDALANMA ÇEÞÝTLERÝ
Ahýrlý;ALÝÇERÇÝ;MAZOT-GÜBRE
Ahýrlý;BADEMLÝ;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ahýrlý;BALIKLAVA;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ahýrlý;BÜYÜKÖZ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ahýrlý;ÇÝFTLÝK;MAZOT-GÜBRE
Ahýrlý;ERDOÐAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Ahýrlý;KARACAKUYU;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ahýrlý;KAYACIK;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Ahýrlý;KURUÇAY;YOK
Ahýrlý;KÜÇÜKÖZ;MAZOT-GÜBRE
Akören;AVDAN;DOÐRUDAN GELÝR
Akören;KAYASU;YOK
Akören;AHMEDÝYE;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Akören;ALAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Akören;BELKUYU;MAZOT-GÜBRE
Akören;ÇATÖREN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Akören;DUTLU;DOÐRUDAN GELÝR
Akören;ORHANÝYE;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Akören;SÜLEYMANÝYE;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT
Akþehir;ÇAKILLAR;FÝDE-FÝDAN
Akþehir;GEDÝL;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR , BUZAÐI
Akþehir;KARAHÜYÜK;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR
Akþehir;ADSIZ;MAZOT-GÜBRE, FÝDE-FÝDAN
Akþehir;ALANYURT;MAZOT-GÜBRE
Akþehir;ALTUNTAÞ;MAZOT-GÜBRE
Akþehir;ATAKENT;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, BUZAÐI
Akþehir;BOZLAÐAN;YOK
Akþehir;CANKURTARAN;FÝDE-FÝDAN
Akþehir;ÇAMLI;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT
Akþehir;ÇÝMENDERE;MAZOT-GÜBRE, FÝDE-FÝDAN
Akþehir;DEÐÝRMENKÖY;MAZOT-GÜBRE, SÜT, BUZAÐI
Akþehir;DOÐRUGÖZ;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT
Akþehir;ENGÝLÝ;MAZOT-GÜBRE, SÜT
Akþehir;GÖLÇAYIR;FÝDE-FÝDAN, DOÐRUDAN GELÝR
Akþehir;GÖZPINARI;MAZOT-GÜBRE, FÝDE-FÝDAN
Akþehir;ILICAK;MAZOT-GÜBRE, FÝDE-FÝDAN, DOÐRUDAN GELÝR , BUZAÐI
Akþehir;KARABULUT;YOK
Akþehir;ORTACA;YOK
Akþehir;ORTAKÖY;YOK
Akþehir;REÝS;MAZOT-GÜBRE
Akþehir;SAVAÞ;FÝDE-FÝDAN
Akþehir;SORKUN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Akþehir;SÖÐÜTLÜ;MAZOT-GÜBRE
Akþehir;TEKKE;YOK
Akþehir;TÝPÝKÖY;MAZOT-GÜBRE, SÜT, BUZAÐI
Akþehir;ULUPINAR;YOK
Akþehir;ÜÇHÜYÜK;FÝDE-FÝDAN
Akþehir;YAÞARLAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Akþehir;YAYLABELEN;MAZOT-GÜBRE
Akþehir;YAZLA;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Akþehir;YENÝKÖY;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, BUZAÐI
Akþehir;YEÞÝLKÖY;MAZOT-GÜBRE, SÜT
Akþehir;SARAY;FÝDE-FÝDAN
Altýnekin;OÐUZELÝ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;AKCAÞAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;AYIÞIÐI;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;AKKÖY;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Altýnekin;BORUKKUYU;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Altýnekin;HACINUMAN;MAZOT-GÜBRE, HUBUBAT, BUZAÐI, SERTÝFÝKALI TOHUM
Altýnekin;KARAKAYA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;KOÇAÞ;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Altýnekin;KOÇYAKA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;MANTAR;MAZOT-GÜBRE
Altýnekin;YENÝÖLMEZ;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Altýnekin;SARNIÇ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;TOPRAKLIK;YEM BÝTKÝLERÝ, HUBUBAT, BUZAÐI
Altýnekin;YENÝKUYU;MAZOT-GÜBRE, HUBUBAT, BUZAÐI
Altýnekin;YENÝYAYLA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Altýnekin;DEDELER;MAZOT-GÜBRE, HUBUBAT, SULAMA SÝSTEMLERÝ, DOÐRUDAN GELÝR
Altýnekin;AKINCILAR;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Beyþehir;ADAKÖY;YOK
Beyþehir;AÐILÖNÜ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;AKBURUN;MAZOT-GÜBRE
Beyþehir;AKÇABELEN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;AVDANCIK;MAZOT-GÜBRE, HUBUBAT
Beyþehir;BADEMLÝ;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;BAYAT;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;BAYAVÞAR;YOK
Beyþehir;BAYINDIR;YOK
Beyþehir;BAÞGÖZE;MAZOT-GÜBRE, SÜT
Beyþehir;BEKDEMÝR;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Beyþehir;DAMLAPINAR;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Beyþehir;DOÐANBEY;MAZOT-GÜBRE
Beyþehir;DOÐANCIK;MAZOT-GÜBRE, SÜT
Beyþehir;DUMANLI;YOK
Beyþehir;EMEN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;ESENCE;MAZOT-GÜBRE, YEM
Beyþehir;EYLÝKLER;MAZOT-GÜBRE
Beyþehir;EÐÝRLER;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT
Beyþehir;FASILLAR;MAZOT-GÜBRE, SÜT, BUZAÐI
Beyþehir;GÖKÇEKUYU;MAZOT-GÜBRE, FÝDE-FÝDAN, BUZAÐI, KÜÇÜKBAÞ HAYVAN
Beyþehir;GÖKÇÝMEN;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;GÖLKAÞI;MAZOT-GÜBRE, HUBUBAT, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;GÖLYAKA;MAZOT-GÜBRE
Beyþehir;GÖNEN;YOK
Beyþehir;GÖÇÜ;MAZOT-GÜBRE
Beyþehir;GÜNDOÐDU;YOK
Beyþehir;HUÐLU;YOK
Beyþehir;HÜSEYÝNLER;MAZOT-GÜBRE, FÝDE-FÝDAN
Beyþehir;ÝSAKÖY;MAZOT-GÜBRE, HUBUBAT
Beyþehir;KARAALÝ;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;KARABAYAT;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;KARADÝKEN;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, YEM, BUZAÐI
Beyþehir;KARAHÝSAR;MAZOT-GÜBRE, BUZAÐI
Beyþehir;KAYABAÞI;YOK
Beyþehir;KURUCUOVA;YOK
Beyþehir;KUÞLUCA;MAZOT-GÜBRE
Beyþehir;KÜÇÜKAVÞAR;YOK
Beyþehir;MESUTLAR;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;SADIKHACI;MAZOT-GÜBRE, HUBUBAT, GENÇ ÇÝFTÇÝ, KÜÇÜKBAÞ HAYVAN
Beyþehir;SARIKÖY;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;SEVÝNDÝK;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Beyþehir;ÞAMLAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Beyþehir;ÜÇPINAR;MAZOT-GÜBRE, FÝDE-FÝDAN
Beyþehir;ÜSTÜNLER;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;ÜZÜMLÜ;FÝDE-FÝDAN
Beyþehir;YAZYURDU;MAZOT-GÜBRE
Beyþehir;YENÝDOÐAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;YEÞÝLDAÐ;YOK
Beyþehir;YUKARIESENCE;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Beyþehir;YUNUSLAR;FÝDE-FÝDAN
Beyþehir;ÇÝFTLÝK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Beyþehir;ÇÝVRÝL;MAZOT-GÜBRE
Beyþehir;ÇUKURAÐIL;MAZOT-GÜBRE
Bozkýr;ÇAÐLAYAN;FÝDE-FÝDAN
Bozkýr;HAMZALAR;FÝDE-FÝDAN
Bozkýr;AKÇAPINAR;FÝDE-FÝDAN
Bozkýr;ARMUTLU;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;ARSLANTAÞ;YOK
Bozkýr;AYDINKIÞLA;MAZOT-GÜBRE
Bozkýr;AYVALCA;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;BAÐYURDU;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Bozkýr;BAYBAÐAN;MAZOT-GÜBRE, SÜT
Bozkýr;BOZDAM;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Bozkýr;DEREÝÇÝ;FÝDE-FÝDAN, DOÐRUDAN GELÝR
Bozkýr;DEREKÖY;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT
Bozkýr;ELMAAÐAÇ;MAZOT-GÜBRE
Bozkýr;HACILAR;MAZOT-GÜBRE, SÜT, YEM
Bozkýr;HACIYUNUSLAR;MAZOT-GÜBRE, SÜT
Bozkýr;HARMANPINAR;YOK
Bozkýr;HÝSARLIK;FÝDE-FÝDAN
Bozkýr;IÞIKLAR;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT
Bozkýr;KARABAYIR;MAZOT-GÜBRE, SÜT, YEM
Bozkýr;KARACAARDIÇ;FÝDE-FÝDAN
Bozkýr;KARACAHÝSAR;YOK
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;HUBUBAT
Bozkýr;KAYAPINAR;YOK
Bozkýr;KINIK;MAZOT-GÜBRE, FÝDE-FÝDAN, SÜT
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;YEM BÝTKÝLERÝ, SÜT
Bozkýr;KOVANLIK;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;KOZAÐAÇ;MAZOT-GÜBRE
Bozkýr;KUÞÇA;FÝDE-FÝDAN, SÜT
Bozkýr;KÜÇÜKHÝSARLIK;YOK
Bozkýr;PINARCIK;YOK
Bozkýr;SARIOÐLAN;YOK
Bozkýr;SAZLI;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;SOÐUCAK;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;SORKUN;FÝDE-FÝDAN
Bozkýr;SÖÐÜT;YOK
Bozkýr;TARLABAÞI;YOK
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;YOK
Bozkýr;TEPELÝCE;SÜT, BUZAÐI
Bozkýr;ULUPINAR;YOK
Bozkýr;ÜÇPINAR;YOK
Bozkýr;YALNIZCA;YOK
Bozkýr;YAZDAMI;YOK
Bozkýr;YELBEYÝ;MAZOT-GÜBRE
Bozkýr;YENÝKÖY;MAZOT-GÜBRE, FÝDE-FÝDAN
Bozkýr;YOLÖREN;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT
Çeltik;GÖKPINAR;MAZOT-GÜBRE, HUBUBAT
Çeltik;ADAKASIM;MAZOT-GÜBRE
Çeltik;DOÐANYURT;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Çeltik;KAÞÖREN;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Çeltik;KÜÇÜKHASAN;MAZOT-GÜBRE, SÜT
Çeltik;TORUNLAR;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Çeltik;ÝSHAKUÞAÐI;MAZOT-GÜBRE
Çeltik;HONAMLI;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Cihanbeyli;BÖÐRÜDELÝK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;YAPALI;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Cihanbeyli;YENÝCEOBA;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , BUZAÐI
Cihanbeyli;CUMHURÝYET;MAZOT-GÜBRE
Cihanbeyli;GEMECÝK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;GÖKTEPE;MAZOT-GÜBRE
Cihanbeyli;AÐABEYLÝ;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Cihanbeyli;HODOÐLU;MAZOT-GÜBRE
Cihanbeyli;KAYI;MAZOT-GÜBRE
Cihanbeyli;KIRKIÞLA;YOK
Cihanbeyli;KORKMAZLAR;MAZOT-GÜBRE
Cihanbeyli;KÜÇÜKBEÞKAVAK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAÐLIK;MAZOT-GÜBRE, HUBUBAT
Cihanbeyli;SIÐIRCIK;MAZOT-GÜBRE
Cihanbeyli;TURANLAR;MAZOT-GÜBRE
Cihanbeyli;TÜFEKÇÝPINAR;MAZOT-GÜBRE
Cihanbeyli;UZUNCAYAYLA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;YÜNLÜKUYU;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;ZAFERÝYE;MAZOT-GÜBRE, KÜÇÜKBAÞ HAYVAN
Cihanbeyli;GÖLYAZI;MAZOT-GÜBRE
Cihanbeyli;GÜNYÜZÜ;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Cihanbeyli;ÝNSUYU;YOK
Cihanbeyli;KANDÝL;YOK
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;KUÞCA;MAZOT-GÜBRE
Cihanbeyli;KÜTÜKUÞAÐI;MAZOT-GÜBRE
Cihanbeyli;TAÞPINAR;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Cihanbeyli;BEYLÝOVA;MAZOT-GÜBRE, BUZAÐI
Cihanbeyli;ÇÝMEN;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI
Cihanbeyli;ÇÖL;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI, KÜÇÜKBAÞ HAYVAN
Cihanbeyli;DAMLAKUYU;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Cihanbeyli;BULDUK;MAZOT-GÜBRE, SÜT, BUZAÐI
Cihanbeyli;BÜYÜKBEÞKAVAK;MAZOT-GÜBRE
Cihanbeyli;KARATEPE;MAZOT-GÜBRE, HUBUBAT, SÜT, GENÇ ÇÝFTÇÝ
Çumra;ARIKÖREN;MAZOT-GÜBRE
Çumra;DEDEMOÐLU;MAZOT-GÜBRE
Çumra;TÜRKMENCAMÝLÝ;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;A.B.HÜYÜÐÜ;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR
Çumra;DÝNEK;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Çumra;ÝÇERÝÇUMRA;MAZOT-GÜBRE
Çumra;GÜVERCÝNLÝK;MAZOT-GÜBRE
Çumra;KARKIN;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Çumra;OKÇU;MAZOT-GÜBRE, KÜÇÜKBAÞ HAYVAN
Çumra;YENÝSU;MAZOT-GÜBRE
Çumra;APA;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Çumra;ABDÝTOLU;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, SULAMA SÝSTEMLERÝ
Çumra;ADAKALE;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Çumra;ALEMDAR;MAZOT-GÜBRE
Çumra;APASARAYCIK;MAZOT-GÜBRE
Çumra;AFÞAR;YOK
Çumra;AVDUL;MAZOT-GÜBRE
Çumra;BALÇIKHÝSAR;MAZOT-GÜBRE
Çumra;BEYLERCE;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Çumra;B.AÞLAMA;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Çumra;CÝCEK;MAZOT-GÜBRE
Çumra;ÇUKURKAVAK;YOK
Çumra;DÝNLENDÝK;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Çumra;DÝNEKSARAY;MAZOT-GÜBRE, DOÐRUDAN GELÝR
Çumra;DOÐANLI;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;FETHÝYE;MAZOT-GÜBRE
Çumra;GÖKHÜYÜK;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;ERENTEPE;MAZOT-GÜBRE, HUBUBAT
Çumra;ÝNLÝ;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Çumra;KUZUCU;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;KÜÇÜKKÖY;MAZOT-GÜBRE, HUBUBAT, SERTÝFÝKALI TOHUM
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;MAZOT-GÜBRE
Çumra;TAHTALI;MAZOT-GÜBRE
Çumra;T.KARAHÜYÜK;MAZOT-GÜBRE, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;TAÞAÐIL;MAZOT-GÜBRE, DOÐRUDAN GELÝR , BUZAÐI
Çumra;UZUNKUYU;MAZOT-GÜBRE
Çumra;ÜÇHÜYÜK;MAZOT-GÜBRE
Çumra;ÜRÜNLÜ;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR , SERTÝFÝKALI TOHUM
Çumra;YÖRÜKCAMÝLÝ;MAZOT-GÜBRE, HUBUBAT, DOÐRUDAN GELÝR
Çumra;ÇAYBAÞI;MAZOT-GÜBRE, YEM BÝTKÝLERÝ, HUBUBAT, DOÐRUDAN GELÝR
Derbent;ÇÝFTLÝKÖZÜ;MAZOT-GÜBRE, FÝDE-FÝDAN
Derbent;DEÐÝÞ;MAZOT-GÜBRE, SERTÝFÝKALI TOHUM
Derbent;TEKKE;MAZOT-GÜBRE, SÜT, DOÐRUDAN GELÝR , BUZAÐI, KÜÇÜKBAÞ HAYVAN
Derbent;GÜNEYKÖY;MAZOT-GÜBRE
Derbent;MÜLAYÝM;DOÐRUDAN GELÝR , KÜÇÜKBAÞ HAYVAN
Derbent;SARAYPINAR;MAZOT-GÜBRE, YEM BÝTKÝLERÝ
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;MAZOT-GÜBRE, KÜÇÜKBAÞ HAYVAN
Derbent;KARALAR;MAZOT-GÜBRE, DOÐRUDAN GELÝR , KÜÇÜKBAÞ HAYVAN
Derebucak;ÇAMLIK;MAZOT-GÜBRE, FÝDE-FÝDAN, KÜÇÜKBAÞ HAYVAN
Derebucak;DURAK;YOK
Derebucak;GENCEK;FÝDE-FÝDAN
