|||Sütunlar||||||||||||||
Satırlar|||||||||||||||||
|||||||||||||||||
|||Üretim Miktarı ve Alçak Tünel ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Cam Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Cam Sera ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Plastik Sera ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Ton|Üretim Miktarı ve Plastik Sera ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Ton|Üretim Miktarı ve Plastik Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.23.00.01. (Kayısı) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.26.00.00. (Nektarin) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.27.00.00. (Erik) - Ton|Üretim Miktarı ve Plastik Sera ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Plastik Sera ve 01.25.19.00.01. (Maviyemiş) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.24.27.00.00. (Erik) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.25.13.00.00. (Çilek) - Ton|
Örtüaltı Meyveler|Adana-1|2004||||||||||95.0||||13.0|
||2005|13.0|||||||||230.0|||||
||2006|63.0|||||15.0||||230.0|||||
||2007||||||||||230.0|||||
||2008||||||||||230.0|||||
||2009||||||||||230.0|||||
||2010||||||||||1413.0|||||
||2011||||||||||1413.0|||||
||2012||||||||||1440.0|||||
||2013||||||||||1440.0|||||
||2014||||||||||1440.0|||||
||2015||||||||||1440.0|||||
||2016||||||||||1575.0||72.0|||
||2017||||||640.0||||1575.0||382.0|||
||2018||||||1688.0||||1591.0||402.0||8.0|
||2019||||||2637.0||||1591.0||1764.0||8.0|
||2020|8.0|||||11334.0|||0.0|225.0||3321.0||8.0|
||2021|128.0|||||25720.0||||225.0||9735.0||80.0|
|Adıyaman-2|2004||||||||||2.0|||||
|Amasya-5|2020||||||||||||||54.0|
||2021||||||||||||||53.0|
|Ankara-6|2013||||||||||2.0|||||
||2014||||||||||6.0|||||
||2015||||||||||6.0|||||
||2016||||||||||6.0|||||
||2017||||||||||6.0|||||
||2018||||||||||6.0|||||
||2020||||||||||24.0|||||
||2021||||||||||36.0||||6.0|
|Antalya-7|2004||576.0|1750.0|||10265.0||||1310.0||||17560.0|
||2005||606.0|1500.0|||11915.0||||1520.0||||18260.0|
||2006||600.0|250.0|||12090.0||||1020.0||||18610.0|
||2007|50.0|5100.0||||6365.0||||800.0||||21470.0|
||2008|1550.0|600.0||||10115.0||||1040.0||||22910.0|
||2009|2116.0|420.0|228.0|||9865.0||||||||23800.0|
||2010|2950.0||1268.0|37.0|5.0|11385.0||||2240.0||||24618.0|
||2011|2900.0||1300.0|38.0|5.0|11565.0||||2286.0||||26246.0|
||2012|29000.0||860.0|39.0|6.0|8611.0||||2472.0||||23485.0|
||2013|30600.0||680.0|39.0|6.0|9675.0||||2850.0||||23280.0|
||2014|19450.0||680.0|39.0|6.0|13613.0||||3400.0||||23658.0|
||2015|16163.0||600.0|39.0|6.0|19965.0||||3320.0||||24900.0|
||2016|15505.0||655.0|39.0|6.0|35525.0||||3444.0||||22979.0|
||2017|15584.0||675.0|54.0|6.0|65665.0||0.0|0.0|3444.0||||23062.0|
||2018|15481.0||675.0|53.0|6.0|77785.0||||3540.0||||23661.0|
||2019|16358.0||110.0|50.0|8.0|101615.0||||1614.0||||32780.0|
||2020|16025.0||730.0|50.0|14.0|153227.0||||4016.0||5198.0||28840.0|
||2021|15853.0||838.0|34.0|14.0|198580.0|||1.0|19003.0|33.0|25120.0||25840.0|
|Aydın-9|2004|800.0|||||||||12.0||||11840.0|
||2005|16.0|||||||||12.0||||21407.0|
||2006|1863.0|||||||||19.0||||10263.0|
||2007|3588.0|||||||||21.0||||11055.0|
||2008|18.0|||||||||22.0||||16885.0|
||2009|18.0|||||||||2.0||||32648.0|
||2010|18.0|||||||||12.0||||26857.0|
||2011|18.0|||||||||12.0||||28046.0|
||2012|12.0|||||||||12.0||||32062.0|
||2013|18.0|||||||||3.0||||37587.0|
||2014|12.0|||||||||12.0||||39962.0|
||2015|21.0|||||||||3.0||||42877.0|
||2016|9.0|||||||||3.0||||45753.0|
||2017|12.0|||||||||768.0||||44087.0|
||2018|12.0|||||||||160.0||||44096.0|
||2019|687.0|||||||||197.0||||37948.0|
||2020|12.0|||||||||229.0||||39758.0|
||2021|12.0||75.0|||||||264.0||||34349.0|
|Balıkesir-10|2004|16.0|||||||||8.0||||20.0|
||2006|20.0|||||||||3.0|||||
||2021||||||||||15000.0|||||
|Bartın-74|2013||||||||||16.0|||||
||2014||||||||||16.0|||||
||2015||||||||||16.0|||||
||2016||||||||||16.0|||||
|Burdur-15|2004||||||||||20.0|||||
||2005||||||||||20.0|||||
||2006||||||||||20.0|||||
||2010|6.0||||||||||||||
||2013||||3.0||||||20.0|||||
||2016||||3.0|||||||||||
||2017||||3.0|||||||||||
||2018||||3.0|||||||||||
||2019||||3.0|||||||||||
||2020||||4.0|||||||||||
||2021||||4.0||||||10.0|||||
|Bursa-16|2007||||||||||||||125.0|
||2008||||||||||||||125.0|
||2009||||||||||||||125.0|
||2018|48.0||||||||||||||
||2019|73.0||||||||||||||
|Çanakkale-17|2010||||||||||||||9.0|
||2011||||||||||||||9.0|
||2012|8.0|||||||||||||9.0|
||2013|8.0|||||||||||||13.0|
||2014|16.0|||||||||||||9.0|
||2015|25.0|||||||||||||10.0|
||2016|26.0|||||||||||||11.0|
||2017|40.0|||||||||4.0|||||
||2018|67.0|||||||||16.0|||||
||2019|142.0|||||||||||||27.0|
||2020|177.0|||||||||||||45.0|
||2021|322.0|||||||||||||46.0|
|Çorum-19|2016||||||||||0.0|||||
||2017||||||||||3.0|||||
||2018||||||||||2.0|||||
||2020||||||||||||||6.0|
|Denizli-20|2004|2.0||||||||||||||
||2005|2.0|||||||||||||2.0|
||2006|4.0|||||||||||||28.0|
||2007||||||||||||||43.0|
||2020||||||50.0||||2.0|||||
||2021||||||50.0||||2.0|||||
|Düzce-81|2007|2.0||||||||||||||
||2008|4.0|||||||||5.0|||||
||2009|13.0||||||||||||||
||2010|10.0||||||||||||||
||2011|8.0||||||||||||||
||2012|5.0|||||||||||||2.0|
||2013|5.0|||||||||||||4.0|
||2014|5.0|||||||||||||2.0|
||2015|5.0|||||||||||||2.0|
||2016|5.0|||||||||||||2.0|
||2017||||||||||||||2.0|
||2018||||||||||||||2.0|
||2019||||||||||||||2.0|
||2020||||||||||||||2.0|
||2021||||||||||||||2.0|
|Erzurum-25|2008||||||||||||||4.0|
||2009||||||||||||||4.0|
||2014||||||||||12.0|||||
||2015||||||||||30.0|||||
||2016||||||||||60.0|||||
||2017||||||||||60.0|||||
||2018||||||||||60.0|||||
||2019||||||||||90.0|||||
||2020||||||||||90.0|||||
||2021||||||||||90.0|||||
|Eskişehir-26|2020||||||||||20.0|||||
||2021||||||||||20.0|||||
|Hatay-31|2004||||||1.0|||||||||
||2005||||||2.0|||||||||
||2006||||||2.0|||||||||
||2007||||||30.0|||||||||
||2008||||||30.0|||||||||
||2009||||||198.0||||40.0|||||
||2010|48.0|||||618.0|||||||||
||2011|20.0|||||1380.0|||||||||
||2012|20.0|||||1590.0|||||||||
||2013|108.0|||||2016.0|||||||||
||2014|130.0|||||2108.0||||||||12.0|
||2015|135.0|||||2122.0||||||||12.0|
||2016|159.0|||||2100.0|||||||16.0||
||2017|136.0|||||3900.0|||||||16.0||
||2018|278.0|||||4020.0||||||6.0|16.0|2.0|
||2019|217.0|||||3642.0||||26.0||20.0|14.0||
||2020|287.0|||||5612.0||||14.0||33.0|16.0||
||2021|307.0|||||8087.0||||14.0||78.0|20.0|8.0|
|Isparta-32|2006|||5.0|||||||14.0|||||
||2007|||9.0|||||||18.0|||||
||2008|||9.0|||||||18.0|||||
|İstanbul-34|2020|||5.0||||||||||||
|İzmir-35|2004||||||||||52.0||||1160.0|
||2005||||||||||53.0||||1160.0|
||2006|80.0|||||||||55.0||||1160.0|
||2007|81.0|||||||||52.0||||1160.0|
||2008|81.0|||||||||52.0||||1160.0|
||2009|1.0|||||||||52.0||||1390.0|
||2010|2.0|||||||||52.0||||1414.0|
||2011|2.0|||||||||52.0||||1368.0|
||2012|2.0|||||||||52.0||||1368.0|
||2013|2.0|||||||||52.0||||1368.0|
||2014|2.0|||||||||52.0||||1368.0|
||2015|2.0|||||||||52.0||||1372.0|
||2016|50.0|||||||||72.0||||1284.0|
||2017|50.0|||||||||72.0||||1296.0|
||2018|50.0|||||||||319.0||||1296.0|
||2019|48.0|||||||||277.0||||1296.0|
||2020|48.0|||||||||107.0||||1296.0|
||2021|48.0|||||318.0||||107.0||||1416.0|
|Kahramanmaraş-46|2021|90.0||||||||||||||
|Kayseri-38|2016||||||||||||||14.0|
||2017||||||||||2.0||||14.0|
||2018||||||||||2.0||||14.0|
||2020||||||||||0.0|||||
|Kırklareli-39|2009|8.0||||||||||||||
||2020||||||||||36.0|||||
||2021||||||||||27.0|||||
|Konya-42|2004|4.0|||||||||||||5.0|
||2014||7.0|||||||||||||
|Kütahya-43|2004||||||||||4.0|||||
||2016|16.0|||||||||81.0||||46.0|
||2017|13.0|||||||||77.0||||42.0|
||2018|15.0|||||||||45.0||||39.0|
||2019||||||||||45.0||||35.0|
||2020||||||||||||||35.0|
||2021||||||||||4.0||||33.0|
|Manisa-45|2004|42.0|||||||||57.0||||70.0|
||2005|75.0|||||||||29.0||||65.0|
||2006|42.0||5.0|||||||26.0||||60.0|
||2007|30.0|||||||||22.0||||63.0|
||2008|25.0|||||||||29.0||||42.0|
||2009|26.0|||||||||19.0||||16.0|
||2010||||||||||23.0||||28.0|
||2011||||||||||8.0||||28.0|
||2012||||0.0||||||5.0||||28.0|
||2013||||10.0||||||4.0|||||
||2014||||10.0||||||5.0|||||
||2015||||10.0||||||13.0|||||
||2016||||10.0||||||12.0||||320.0|
||2017||||||||||12.0||||320.0|
||2018||||||||||12.0||||320.0|
||2019||||||432.0||||12.0||||320.0|
||2020||||||890.0||||16.0||||328.0|
||2021||||||890.0||||16.0||||320.0|
|Mersin-33|2004|5370.0|||||80085.0||||1155.0||||40348.0|
||2005|6450.0|||||88755.0||||1140.0||||40348.0|
||2006|19020.0|||||117289.0||||145.0||||44420.0|
||2007|7820.0|||||123320.0||||1100.0||||52225.0|
||2008|7820.0||18.0|||135295.0||||1100.0||||52000.0|
||2009|7820.0||22.0|||135305.0||||600.0||||52000.0|
||2010|8020.0||4.0|308.0||137230.0||||600.0||||52000.0|
||2011|8000.0||4.0|308.0||148930.0||||600.0||||52000.0|
||2012|8000.0||4.0|303.0||151310.0|600.0|||600.0||||52000.0|
||2013|8245.0||4.0|393.0||160315.0|627.0|60.0||1000.0||||52000.0|
||2014|9840.0||4.0|323.0||164360.0|646.0|66.0||600.0||||57050.0|
||2015|12394.0||10.0|842.0||178157.0|775.0|60.0||1000.0||||61225.0|
||2016|13750.0||10.0|860.0||214452.0|728.0|60.0|94.0|1750.0||||59368.0|
||2017|23360.0|9186.0|31.0|901.0||241542.0|794.0|60.0|150.0|1796.0||||37327.0|
||2018|56755.0||26.0|939.0||258300.0|602.0|20.0|151.0|4971.0||9186.0||25627.0|
||2019|63408.0||26.0|1003.0||294698.0|562.0|20.0|250.0|6260.0||17269.0||30602.0|
||2020|74348.0||21.0|1038.0||347086.0|513.0|10.0|320.0|4740.0||12396.0||30425.0|
||2021|94931.0||21.0|1146.0||421995.0|479.0|10.0|345.0|7500.0||26759.0||34373.0|
|Muğla-48|2004|10.0|1.0||||||||45.0||||20.0|
||2005|111.0|1.0||||||||45.0||||50.0|
||2006|104.0|1.0||||||||60.0||||115.0|
||2007|214.0|||||||||60.0||||115.0|
||2008|214.0|||||||||60.0||||115.0|
||2009|484.0|||||||||60.0||||10.0|
||2010|444.0|||||||||120.0||||25.0|
||2011|404.0|||||||||120.0||||25.0|
||2012|569.0|||||||||110.0||||25.0|
||2013|579.0|||||||||105.0||||25.0|
||2014|728.0|||||||||60.0||||25.0|
||2015|648.0|||||||||6.0||||25.0|
||2016|918.0|||||||||21.0||||91.0|
||2017|895.0|||||500.0||||19.0||||97.0|
||2018|845.0|||40.0|80.0|1840.0||||24.0||||127.0|
||2019|675.0||18.0|40.0|80.0|2760.0||||||||123.0|
||2020|711.0|||8.0||3662.0||||33.0||||208.0|
||2021|973.0|||16.0||4981.0||||33.0||||249.0|
|Osmaniye-80|2021||||||390.0|||||||||
|Sakarya-54|2010||||||||||135.0|||||
||2011||||||||||135.0|||||
|Samsun-55|2020||||||||||34.0|||||
||2021||||||||||34.0|||||
|Sinop-57|2020||||||||||13.0|||||
||2021||||||||||100.0|||||
|Tekirdağ-59|2004||||||||||||||5.0|
||2021||||||||||||||1.0|
|Tokat-60|2020||||||||||30.0|||||
||2021||||||||||58.0|||||
|Trabzon-61|2004||||||||||13.0|||||
|Uşak-64|2004||||||||||||||29.0|
||2005||||||||||||||31.0|
||2006||||||||||1.0|||||
||2007||||||||||||||12.0|
||2012||||||||||||||12.0|
||2013||||||||||||||8.0|
||2014||||||||||||||8.0|
||2015||||||||||||||9.0|
||2016||||||||||||||180.0|
||2017||||||||||||||170.0|
||2018||||||||||||||170.0|
||2019||||||||||||||180.0|
||2020||||||||||||||196.0|
||2021||||||||||||||236.0|
|Yalova-77|2017||||||||||||||8.0|
||2018||||||||||||||16.0|
||2019||||||||||||||11.0|
||2020||||||||||||||4.0|
|||||||||||||||||
